MSD,VSD,Reading,,ring,MSD,VSD,Reading,,Diameter
37.5,35,37.85,,,,,,,
41,46,41.46,,22,,,0,,
41,35,41.35,,20,33.5,11,33.61,,7.74
41,20,41.2,,18,33.5,35,33.85,,7.35
40.5,47,40.97,,16,34,4,34.04,,6.93
40.5,19,40.69,,14,34,28,34.28,,6.41
40,45,40.45,,12,34.5,1,34.51,,5.94000000000001
40,23,40.23,,10,34.5,19,34.69,,5.54
39.5,47,39.97,,8,35,1,35.01,,4.96
39.5,21,39.71,,6,35,32,35.32,,4.39
39,30,39.3,,4,35.5,44,35.94,,3.36
39,4,39.04,,3,36,8,36.08,,2.96
38.5,39,38.89,,2,36,48,36.48,,2.41
38,46,38.46,,1,36.5,29,36.79,,1.67
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,5.41,,,
